Id,income,age,experience,married,house_ownership,car_ownership,profession,city,state,current_job_years,current_house_years,risk_flag
207505,6910809,41,10,single,rented,yes,Artist,Indore,Madhya_Pradesh,5,12,0
184219,4477660,30,0,married,rented,yes,Lawyer,Saharanpur,Uttar_Pradesh,0,14,0
6181,5272729,28,17,single,rented,no,Computer_operator,Guwahati,Assam,12,10,0
83876,6474681,31,6,single,rented,no,Civil_engineer,Mumbai,Maharashtra,6,10,0
135738,3890846,58,16,married,rented,yes,Police_officer,Guntur[13],Andhra_Pradesh,4,11,0
97202,6868118,25,16,single,rented,no,Secretary,Danapur,Bihar,13,13,0
202702,7450859,57,17,single,rented,yes,Geologist,Mysore[7][8][9],Karnataka,7,14,0
179114,3679290,25,9,single,rented,no,Psychologist,Pune,Maharashtra,6,11,0
170927,7395380,40,4,single,rented,no,Mechanical_engineer,Kharagpur,West_Bengal,4,14,0
86712,9510775,48,3,single,rented,no,Petroleum_Engineer,Jehanabad[38],Bihar,3,14,0
131999,7970733,26,7,single,rented,yes,Web_designer,Ichalkaranji,Maharashtra,7,13,0
60074,9420845,27,3,married,rented,no,Chef,Raichur,Karnataka,3,13,0
159160,5752584,30,5,single,rented,no,Politician,Bihar_Sharif,Bihar,4,11,0
38296,1810800,68,1,single,rented,no,Chartered_Accountant,Jaunpur,Uttar_Pradesh,1,14,0
5503,2015341,47,6,single,rented,no,Graphic_Designer,Panvel,Maharashtra,6,13,0
98423,3006135,59,18,single,rented,no,Chartered_Accountant,Solapur,Maharashtra,6,10,0
41873,9787696,69,5,single,rented,yes,Industrial_Engineer,Aligarh,Uttar_Pradesh,5,12,0
199668,8223223,23,2,single,rented,no,Air_traffic_controller,Mango,Jharkhand,2,10,0
120425,7757255,75,0,single,rented,no,Comedian,Kalyan-Dombivli,Maharashtra,0,14,0
36724,7068508,24,13,single,rented,no,Psychologist,Pudukkottai,Tamil_Nadu,9,14,0
37724,9157379,72,13,single,rented,yes,Design_Engineer,Ajmer,Rajasthan,9,10,0
14520,5734501,38,14,single,rented,no,Designer,Bangalore,Karnataka,8,12,0
197658,2499018,24,15,single,rented,no,Magistrate,Motihari[34],Bihar,8,13,1
33792,2946448,63,0,single,rented,no,Dentist,Munger,Bihar,0,13,1
1830,9700230,55,20,single,rented,no,Lawyer,Nagpur,Maharashtra,8,13,1
218690,9764500,62,19,single,rented,no,Chef,Ambarnath,Maharashtra,12,12,1
83274,3685028,32,13,single,rented,no,Official,Madhyamgram,West_Bengal,6,11,1
169409,1567163,68,7,single,rented,no,Microbiologist,Nagaon,Assam,7,10,0
101574,1464300,58,10,single,rented,yes,Physician,Bhalswa_Jahangir_Pur,Delhi,10,13,0
25755,6735953,36,19,single,rented,no,Psychologist,Buxar[37],Bihar,12,10,0
208741,3780397,28,18,single,rented,yes,Web_designer,Amaravati,Andhra_Pradesh,8,12,0
26537,7809590,75,17,single,rented,no,Secretary,Asansol,West_Bengal,7,12,0
176424,7681002,25,4,single,rented,no,Computer_operator,Pune,Maharashtra,4,13,0
115201,9218490,63,12,single,rented,yes,Designer,Udupi,Karnataka,10,13,0
61959,8396271,24,14,married,rented,yes,Air_traffic_controller,Latur,Maharashtra,14,13,0
175257,5239354,69,1,married,rented,no,Drafter,Kakinada,Andhra_Pradesh,1,11,0
149496,1549898,40,3,married,norent_noown,yes,Secretary,Guntur[13],Andhra_Pradesh,3,11,0
218686,1134926,75,17,single,rented,no,Graphic_Designer,Tiruvottiyur,Tamil_Nadu,12,13,0
210745,1494586,63,20,single,rented,yes,Financial_Analyst,Nandyal,Andhra_Pradesh,3,11,0
205438,5596467,26,17,single,rented,no,Mechanical_engineer,Parbhani,Maharashtra,4,13,0
37503,5697725,46,0,single,rented,no,Surveyor,Burhanpur,Madhya_Pradesh,0,11,0
51044,8230205,71,6,single,rented,yes,Chef,Bareilly,Uttar_Pradesh,6,12,0
183315,8748167,36,10,single,rented,no,Surveyor,Bhiwandi,Maharashtra,10,14,1
235468,9884231,50,13,single,rented,no,Analyst,Kakinada,Andhra_Pradesh,13,10,0
69537,4901643,42,5,single,rented,yes,Technical_writer,Kochi,Kerala,5,11,0
93571,5943449,49,3,single,rented,no,Biomedical_Engineer,Warangal[11][12],Telangana,3,11,0
118051,6810041,76,3,single,rented,no,Firefighter,Jaunpur,Uttar_Pradesh,3,14,0
192405,5478075,42,12,single,rented,no,Design_Engineer,Agartala,Tripura,7,13,0
2462,8723870,71,16,single,rented,no,Analyst,Panchkula,Haryana,14,13,0
211229,5082664,41,12,single,rented,yes,Police_officer,Barasat,West_Bengal,5,12,1
214438,5863246,38,9,single,rented,no,Graphic_Designer,Indore,Madhya_Pradesh,7,14,1
64528,3837133,32,3,single,rented,no,Psychologist,Rajahmundry[19][20],Andhra_Pradesh,3,11,0
33040,4593497,33,15,married,rented,no,Biomedical_Engineer,Begusarai,Bihar,8,14,1
185673,675893,46,7,single,rented,no,Designer,Bidar,Karnataka,6,11,0
229427,4951135,30,12,single,rented,no,Surgeon,Gorakhpur,Uttar_Pradesh,12,14,0
82598,2543132,59,8,single,rented,no,Mechanical_engineer,Howrah,West_Bengal,8,10,0
15824,2235378,30,19,single,rented,no,Physician,Erode[17],Tamil_Nadu,10,10,0
43359,9812058,72,1,single,rented,yes,Economist,Thrissur,Kerala,1,14,0
23897,1662067,31,14,single,rented,yes,Technical_writer,Sirsa,Haryana,7,10,0
67045,782667,79,11,single,rented,yes,Statistician,Surat,Gujarat,11,13,0
62517,3245048,38,8,single,rented,yes,Psychologist,Bharatpur,Rajasthan,8,13,0
193343,8663689,26,19,single,rented,no,Technology_specialist,Allahabad,Uttar_Pradesh[5],5,11,0
171120,2819566,63,8,single,norent_noown,no,Financial_Analyst,Rourkela,Odisha,5,13,0
250336,7518324,69,0,single,rented,no,Artist,Ludhiana,Punjab,0,12,0
78528,5346934,51,19,single,rented,no,Drafter,Bongaigaon,Assam,8,13,0
77878,6284000,32,3,single,rented,no,Petroleum_Engineer,Kochi,Kerala,3,11,1
198884,3212655,67,19,single,rented,no,Fashion_Designer,Bettiah[33],Bihar,7,14,1
244849,2914703,21,0,single,rented,no,Artist,Katihar,Bihar,0,11,0
57697,428454,53,18,single,rented,no,Police_officer,Gulbarga,Karnataka,9,13,0
87942,9856572,75,8,single,rented,no,Geologist,New_Delhi,Delhi,8,12,0
209392,7121310,53,9,single,rented,no,Drafter,Kadapa[23],Andhra_Pradesh,9,11,0
228877,247373,33,12,single,rented,no,Computer_operator,Ambala,Haryana,9,14,0
171438,1029026,21,9,single,rented,yes,Librarian,Morbi,Gujarat,9,13,0
181357,2145278,47,9,single,rented,yes,Firefighter,Anantapuram[24],Andhra_Pradesh,8,10,0
250904,1507746,47,2,married,rented,no,Chemical_engineer,Kumbakonam,Tamil_Nadu,2,13,0
214330,3362435,38,16,single,rented,yes,Web_designer,Proddatur,Andhra_Pradesh,3,13,0
151704,4145727,27,11,single,rented,no,Fashion_Designer,Panvel,Maharashtra,6,12,0
171208,5821445,49,15,single,rented,no,Software_Developer,Tezpur,Assam,13,12,0
207957,3671933,78,18,single,rented,no,Financial_Analyst,Ambala,Haryana,12,12,0
97246,5898669,32,9,married,rented,no,Firefighter,Aligarh,Uttar_Pradesh,6,13,0
105859,8039588,41,2,single,rented,no,Air_traffic_controller,Gandhinagar,Gujarat,2,11,0
37540,6730834,33,20,single,rented,no,Design_Engineer,Katihar,Bihar,12,13,0
216740,1132842,71,12,single,rented,no,Technical_writer,Panihati,West_Bengal,12,10,0
110,6501716,37,5,single,rented,no,Civil_servant,Nagpur,Maharashtra,5,13,0
189341,4510338,53,17,single,rented,no,Biomedical_Engineer,Hospet,Karnataka,5,10,0
132286,4813006,52,16,single,owned,yes,Chartered_Accountant,Nizamabad,Telangana,4,11,0
46946,9774160,24,9,single,rented,yes,Mechanical_engineer,Malegaon,Maharashtra,9,12,0
168824,6580482,48,11,single,rented,no,Chartered_Accountant,Anand,Gujarat,7,10,0
56258,3239333,46,20,married,rented,yes,Graphic_Designer,Gopalpur,West_Bengal,6,10,0
229459,9636078,52,13,single,norent_noown,no,Firefighter,Sagar,Madhya_Pradesh,6,11,0
152056,1356494,68,5,single,rented,no,Politician,Madhyamgram,West_Bengal,5,12,0
65851,4839082,74,17,single,rented,yes,Engineer,Tiruchirappalli[10],Tamil_Nadu,9,14,0
172613,5712282,59,1,married,rented,no,Economist,Noida,Uttar_Pradesh,1,12,0
210735,8791091,33,15,single,rented,no,Microbiologist,Karnal,Haryana,12,14,0
6132,6894156,53,4,single,rented,no,Web_designer,Hubli–Dharwad,Karnataka,4,10,0
145949,4853948,39,10,single,rented,no,Magistrate,Tirupati[21][22],Andhra_Pradesh,10,10,0
231734,7228445,50,13,single,rented,no,Police_officer,Ozhukarai,Puducherry,6,10,0
97155,4727841,52,8,single,rented,no,Technology_specialist,Tenali,Andhra_Pradesh,8,12,0
88173,8282569,62,9,single,rented,yes,Air_traffic_controller,Dehradun,Uttarakhand,5,12,0
27872,4879862,75,2,single,owned,no,Computer_operator,Singrauli,Madhya_Pradesh,2,12,0
177286,7225783,63,9,married,owned,yes,Dentist,Udupi,Karnataka,9,12,0
91565,2776169,27,16,single,rented,no,Flight_attendant,Mirzapur,Uttar_Pradesh,8,10,0
53170,851340,78,3,married,rented,no,Army_officer,Barasat,West_Bengal,3,10,0
7696,9749077,75,3,married,rented,no,Financial_Analyst,Barasat,West_Bengal,3,14,0
217229,5946145,54,13,married,rented,no,Magistrate,Giridih,Jharkhand,5,10,0
107071,3379005,77,1,single,rented,no,Microbiologist,Proddatur,Andhra_Pradesh,1,11,0
64386,7442228,39,16,single,rented,no,Magistrate,Aizawl,Mizoram,10,11,0
191187,424500,40,1,single,rented,no,Chef,Madanapalle,Andhra_Pradesh,1,10,0
210100,5381739,76,15,single,rented,no,Graphic_Designer,Cuttack,Odisha,9,13,1
104495,6105581,53,14,single,rented,no,Civil_engineer,Bareilly,Uttar_Pradesh,3,13,0
2260,6117194,23,9,single,rented,yes,Civil_servant,Begusarai,Bihar,9,14,0
135303,2429683,43,20,single,rented,no,Financial_Analyst,Siliguri,West_Bengal,14,11,1
211121,1322234,31,1,single,rented,yes,Official,Pimpri-Chinchwad,Maharashtra,1,14,0
73556,4058831,68,10,single,rented,no,Technology_specialist,Vijayawada,Andhra_Pradesh,4,10,0
173210,8644938,26,11,married,rented,no,Architect,South_Dumdum,West_Bengal,9,10,0
70750,5321383,40,2,single,rented,no,Aviator,Nagpur,Maharashtra,2,13,0
80186,5281427,29,7,single,rented,yes,Analyst,Gandhidham,Gujarat,3,13,0
141160,5002101,37,6,single,rented,yes,Biomedical_Engineer,Shivpuri,Madhya_Pradesh,6,14,0
102557,6260643,54,9,single,rented,no,Design_Engineer,Bulandshahr,Uttar_Pradesh,9,14,0
237974,4686021,50,18,single,owned,yes,Microbiologist,Kakinada,Andhra_Pradesh,12,11,0
45567,5017077,60,7,single,norent_noown,no,Software_Developer,Katihar,Bihar,7,13,0
92942,2295877,71,0,single,rented,no,Computer_hardware_engineer,Chapra,Bihar,0,14,0
128956,7886872,62,12,single,owned,no,Psychologist,Kolkata,West_Bengal,8,11,0
62996,8553248,74,0,married,rented,yes,Statistician,Bhilwara,Rajasthan,0,14,0
22973,4542920,64,11,single,owned,yes,Physician,Mysore[7][8][9],Karnataka,11,14,0
200081,6936269,46,9,single,rented,no,Firefighter,Eluru[25],Andhra_Pradesh,8,14,0
34219,1034564,27,17,single,rented,no,Flight_attendant,Nashik,Maharashtra,8,12,0
213321,552671,76,17,single,rented,yes,Civil_servant,Jabalpur,Madhya_Pradesh,13,11,0
95895,1309803,55,9,single,rented,no,Artist,Shahjahanpur,Uttar_Pradesh,9,12,0
100130,2143718,25,0,single,norent_noown,yes,Drafter,Kottayam,Kerala,0,10,0
152340,5953166,24,3,single,rented,yes,Industrial_Engineer,Saharsa[29],Bihar,3,13,0
114461,710851,21,19,single,rented,yes,Psychologist,Noida,Uttar_Pradesh,14,12,0
118689,5712282,59,1,married,rented,no,Economist,Noida,Uttar_Pradesh,1,12,0
162978,1509614,25,0,married,rented,yes,Firefighter,Vijayanagaram,Andhra_Pradesh,0,13,1
137906,5543622,77,14,single,owned,yes,Microbiologist,Bhopal,Madhya_Pradesh,4,10,0
160572,505809,33,9,single,rented,yes,Air_traffic_controller,Anantapuram[24],Andhra_Pradesh,9,10,0
235332,8143872,43,16,single,rented,no,Flight_attendant,Aurangabad[39],Bihar,11,13,0
185158,553772,38,19,single,rented,yes,Computer_operator,Ludhiana,Punjab,9,14,0
24278,4783607,67,19,single,rented,no,Consultant,Howrah,West_Bengal,7,13,1
55499,279696,49,17,single,rented,yes,Graphic_Designer,Ambattur,Tamil_Nadu,12,13,0
5522,8195887,79,16,single,rented,no,Chef,Ichalkaranji,Maharashtra,14,13,0
220087,8290292,71,0,single,rented,no,Civil_servant,Bidhannagar,West_Bengal,0,11,0
204285,9085922,55,4,single,rented,no,Mechanical_engineer,Bhalswa_Jahangir_Pur,Delhi,4,11,0
87960,3533484,47,6,single,rented,no,Web_designer,Berhampore,West_Bengal,6,12,1
62866,374089,23,19,single,rented,no,Civil_engineer,Latur,Maharashtra,9,10,0
126236,4320824,63,11,single,rented,yes,Secretary,Silchar,Assam,7,10,0
85348,7638998,46,14,single,rented,yes,Firefighter,Gandhidham,Gujarat,12,11,0
106104,6597082,50,10,single,rented,yes,Magistrate,Jammu[16],Jammu_and_Kashmir,3,11,0
48088,7424998,33,9,single,rented,no,Psychologist,Panihati,West_Bengal,6,13,0
67885,8822942,65,13,single,owned,no,Technical_writer,Nizamabad,Telangana,8,12,0
193846,1106260,39,8,single,owned,no,Aviator,Raipur,Chhattisgarh,8,10,0
173096,3498735,38,3,single,rented,yes,Technician,New_Delhi,Delhi,3,14,0
234081,5620584,32,9,single,rented,no,Petroleum_Engineer,Singrauli,Madhya_Pradesh,9,13,0
171857,1702499,73,12,single,rented,no,Secretary,Ambattur,Tamil_Nadu,12,14,0
48412,8719218,58,9,single,rented,no,Biomedical_Engineer,Mysore[7][8][9],Karnataka,9,11,0
72128,1035064,66,6,single,rented,no,Army_officer,Siliguri,West_Bengal,6,11,0
163400,3391057,58,17,single,rented,no,Police_officer,Jabalpur,Madhya_Pradesh,8,10,0
130631,7334048,58,9,single,rented,no,Chemical_engineer,Bhilai,Chhattisgarh,8,10,0
155125,9780861,60,14,single,rented,no,Microbiologist,Kottayam,Kerala,8,14,0
18689,8801912,33,16,married,rented,no,Flight_attendant,Gurgaon,Haryana,9,14,0
163285,6828373,69,13,single,rented,yes,Statistician,Amaravati,Andhra_Pradesh,3,13,0
160967,1960736,71,14,single,rented,no,Technician,Bihar_Sharif,Bihar,5,10,0
56301,2564196,55,20,single,rented,no,Statistician,Siliguri,West_Bengal,10,14,0
139449,1999104,25,12,single,rented,yes,Geologist,Kamarhati,West_Bengal,11,14,1
128031,6438478,64,6,single,rented,yes,Air_traffic_controller,Akola,Maharashtra,6,10,0
101447,3864368,58,13,single,rented,yes,Web_designer,Mumbai,Maharashtra,8,13,0
7684,8380088,33,3,single,rented,no,Mechanical_engineer,Pallavaram,Tamil_Nadu,3,11,0
235843,64957,42,0,single,rented,no,Librarian,Coimbatore,Tamil_Nadu,0,14,0
127654,2967995,21,11,single,rented,yes,Official,Solapur,Maharashtra,11,11,0
90733,4671184,39,20,married,rented,yes,Designer,Etawah,Uttar_Pradesh,3,11,0
142805,2713771,78,4,single,rented,yes,Industrial_Engineer,Kumbakonam,Tamil_Nadu,4,10,0
87609,2150637,62,18,single,rented,yes,Lawyer,New_Delhi,Delhi,10,10,0
140405,1729774,28,6,married,rented,yes,Technical_writer,Nadiad,Gujarat,5,10,0
108720,2201763,70,15,single,rented,no,Dentist,Kulti,West_Bengal,12,14,0
75372,8936935,36,0,single,rented,no,Surveyor,Jorhat,Assam,0,14,1
139393,1715663,54,16,single,rented,no,Police_officer,Dehri[30],Bihar,14,11,1
83387,5021477,60,4,single,rented,no,Economist,Amroha,Uttar_Pradesh,4,10,0
60630,2369392,59,17,single,rented,no,Statistician,Bhusawal,Maharashtra,13,14,0
210180,3132419,39,9,single,rented,yes,Statistician,Baranagar,West_Bengal,8,13,0
8763,7932088,41,20,married,rented,no,Technology_specialist,Ambattur,Tamil_Nadu,5,11,0
65114,4958467,76,2,single,rented,yes,Secretary,Singrauli,Madhya_Pradesh,2,11,0
113632,2285062,38,2,single,rented,no,Dentist,Kakinada,Andhra_Pradesh,2,12,0
41720,3802122,54,17,single,rented,yes,Official,Thoothukudi,Tamil_Nadu,4,10,0
68941,6386403,31,10,single,rented,no,Designer,Nellore[14][15],Andhra_Pradesh,10,14,0
16294,8753042,74,12,married,rented,no,Computer_operator,Bhiwandi,Maharashtra,9,12,0
148258,1877926,52,16,single,rented,no,Fashion_Designer,Bhiwani,Haryana,14,13,0
244889,4177529,53,14,single,rented,yes,Army_officer,Nellore[14][15],Andhra_Pradesh,11,12,0
171790,5278563,52,8,single,rented,no,Civil_servant,Pimpri-Chinchwad,Maharashtra,5,10,0
146380,8356848,54,2,single,rented,no,Dentist,Nangloi_Jat,Delhi,2,12,1
122950,2588052,79,14,single,rented,no,Petroleum_Engineer,Gaya,Bihar,3,13,0
57454,3411984,31,12,single,owned,no,Army_officer,Jodhpur,Rajasthan,4,12,0
237775,8684900,35,6,single,rented,no,Computer_operator,Mau,Uttar_Pradesh,4,14,1
65759,6907195,55,5,single,owned,no,Police_officer,Dharmavaram,Andhra_Pradesh,3,10,0
221086,17801,35,6,single,rented,yes,Hotel_Manager,Solapur,Maharashtra,6,13,1
209554,8796254,48,17,single,owned,yes,Computer_operator,Bikaner,Rajasthan,10,14,0
72543,3884230,25,13,single,rented,no,Scientist,Nagercoil,Tamil_Nadu,10,11,0
177396,9066167,25,11,single,rented,no,Hotel_Manager,Jorhat,Assam,5,12,0
177253,5285152,32,16,single,rented,no,Architect,Ujjain,Madhya_Pradesh,8,11,0
103144,6963246,35,16,single,rented,no,Industrial_Engineer,Gurgaon,Haryana,14,12,0
136,2015341,47,6,single,rented,no,Graphic_Designer,Panvel,Maharashtra,6,13,0
189528,1551179,24,19,single,rented,no,Drafter,Allahabad,Uttar_Pradesh[5],9,14,0
240763,9784111,22,20,married,rented,no,Librarian,Naihati,West_Bengal,10,13,0
143246,6134981,49,2,single,rented,yes,Hotel_Manager,Nanded,Maharashtra,2,10,1
15143,5647261,64,10,single,rented,no,Psychologist,Bhusawal,Maharashtra,10,10,1
241301,5435876,69,3,single,norent_noown,no,Chartered_Accountant,Pali,Rajasthan,3,13,0
211317,9450206,53,1,single,rented,no,Consultant,Haldia,West_Bengal,1,11,0
241763,7559929,70,16,married,rented,yes,Mechanical_engineer,Serampore,West_Bengal,3,12,1
220320,6416748,28,18,single,rented,no,Air_traffic_controller,Jhansi,Uttar_Pradesh,9,10,0
24589,6202575,55,8,single,rented,yes,Drafter,Tiruvottiyur,Tamil_Nadu,8,13,0
69136,8723251,54,15,single,rented,yes,Fashion_Designer,Thiruvananthapuram,Kerala,13,12,0
244977,6957704,72,12,single,rented,yes,Industrial_Engineer,Jabalpur,Madhya_Pradesh,7,12,1
41353,9593439,29,4,single,rented,no,Comedian,Srikakulam,Andhra_Pradesh,4,12,0
33150,6794531,68,20,single,rented,no,Hotel_Manager,Vadodara,Gujarat,14,10,1
219190,8398208,26,18,single,rented,no,Politician,Hapur,Uttar_Pradesh,14,10,0
5129,1871076,52,18,single,rented,no,Artist,Bettiah[33],Bihar,3,10,1
123424,5738912,76,9,married,rented,no,Hotel_Manager,Nellore[14][15],Andhra_Pradesh,9,14,0
131252,8534057,58,10,single,rented,no,Civil_servant,Burhanpur,Madhya_Pradesh,9,14,0
52025,1350358,39,11,single,rented,no,Librarian,Gurgaon,Haryana,11,14,0
68198,1662818,64,18,single,rented,no,Industrial_Engineer,Arrah,Bihar,9,11,1
214568,1631681,77,8,single,rented,no,Geologist,Silchar,Assam,8,11,0
181520,5388842,79,4,single,rented,no,Official,Satna,Madhya_Pradesh,4,12,1
21499,9763429,73,5,single,rented,no,Consultant,Tirupati[21][22],Andhra_Pradesh,5,11,1
91363,1154849,58,12,single,rented,no,Politician,Delhi_city,Delhi,6,13,0
145421,8417601,60,2,single,rented,yes,Microbiologist,Jammu[16],Jammu_and_Kashmir,2,14,0
94835,2806082,76,10,single,owned,no,Army_officer,Hospet,Karnataka,10,14,0
91589,8517978,58,7,single,rented,no,Chef,Kochi,Kerala,4,10,1
158637,8942790,26,0,single,rented,no,Air_traffic_controller,Bikaner,Rajasthan,0,14,0
191163,4980371,64,17,single,rented,no,Microbiologist,Pondicherry,Puducherry,8,14,0
114741,2882498,34,0,married,rented,no,Chemical_engineer,Fatehpur,Uttar_Pradesh,0,13,0
75525,1210918,64,8,single,rented,yes,Petroleum_Engineer,Durg,Chhattisgarh,5,12,0
43428,779608,25,13,single,rented,yes,Industrial_Engineer,Nadiad,Gujarat,6,13,0
235951,919912,65,12,single,rented,yes,Official,Gaya,Bihar,12,10,1
50324,3248934,40,10,single,rented,no,Computer_hardware_engineer,Kolkata,West_Bengal,10,12,0
24647,330349,63,9,single,rented,no,Petroleum_Engineer,Jodhpur,Rajasthan,4,10,0
108488,8079960,53,2,single,rented,no,Army_officer,Purnia[26],Bihar,2,10,1
140624,2451457,31,9,married,rented,no,Politician,Bulandshahr,Uttar_Pradesh,9,12,0
151262,8496659,59,12,single,rented,no,Army_officer,Karimnagar,Telangana,8,12,0
59402,9861298,59,16,single,rented,no,Technical_writer,North_Dumdum,West_Bengal,9,11,1
192934,30515,73,12,single,rented,no,Physician,Gandhidham,Gujarat,3,11,0
41622,4212878,28,10,single,rented,yes,Chemical_engineer,Patiala,Punjab,7,14,0
53813,9597503,47,13,single,rented,no,Chemical_engineer,Guwahati,Assam,7,10,1
239059,7623034,25,6,single,rented,no,Air_traffic_controller,Kozhikode,Kerala,6,11,0
235142,9589769,71,4,single,rented,no,Financial_Analyst,Sangli-Miraj_&_Kupwad,Maharashtra,4,14,0
171110,7167091,51,19,single,rented,yes,Army_officer,Barasat,West_Bengal,6,11,0
150952,2776169,27,16,single,rented,no,Flight_attendant,Mirzapur,Uttar_Pradesh,8,10,0
211018,9241363,62,18,single,rented,yes,Computer_operator,Secunderabad,Telangana,5,11,1
224166,1391673,52,0,single,rented,no,Analyst,Korba,Chhattisgarh,0,10,0
202203,3456424,76,8,single,rented,no,Surveyor,Raurkela_Industrial_Township,Odisha,8,13,0
238318,7949986,24,6,single,rented,no,Secretary,Silchar,Assam,4,14,1
111773,3295759,41,16,single,rented,no,Consultant,Anantapur,Andhra_Pradesh,9,11,0
250142,9252801,79,19,single,rented,yes,Chef,Bhopal,Madhya_Pradesh,4,10,1
28187,2369392,59,17,single,rented,no,Statistician,Bhusawal,Maharashtra,13,14,0
158273,1932556,56,15,single,rented,no,Mechanical_engineer,Narasaraopet,Andhra_Pradesh,4,13,0
15996,7903118,72,20,single,rented,no,Artist,Rajkot,Gujarat,13,11,0
216493,5303248,71,4,single,rented,yes,Surgeon,Kollam,Kerala,4,11,0
152348,2557697,59,18,single,rented,no,Graphic_Designer,Ichalkaranji,Maharashtra,8,14,0
66515,9655703,61,6,married,rented,yes,Financial_Analyst,Agartala,Tripura,6,11,1
163117,7714522,37,0,single,rented,yes,Surgeon,Satna,Madhya_Pradesh,0,10,1
196204,1258983,76,12,single,rented,no,Technical_writer,Fatehpur,Uttar_Pradesh,4,10,0
72750,4123671,30,10,single,rented,no,Chef,Jehanabad[38],Bihar,7,13,0
189242,9344382,38,14,single,rented,yes,Secretary,Khandwa,Madhya_Pradesh,12,14,0
4788,6776301,26,17,married,rented,no,Biomedical_Engineer,Buxar[37],Bihar,11,13,0
163605,9934305,31,9,single,rented,no,Police_officer,Kozhikode,Kerala,9,11,0
8064,4613553,27,13,single,owned,no,Civil_engineer,Mysore[7][8][9],Karnataka,13,10,0
175472,3078173,59,12,single,rented,yes,Librarian,Parbhani,Maharashtra,9,10,1
47363,9237126,25,16,single,owned,no,Surgeon,Tadipatri,Andhra_Pradesh,3,10,0
157694,4533369,56,16,single,rented,yes,Police_officer,Alwar,Rajasthan,8,13,0
239589,6163707,71,16,single,rented,yes,Geologist,Tiruvottiyur,Tamil_Nadu,11,14,0
